"","id","creator","date","publisher","subject1","title"
"1","16891921firstret00ster",NA,1921,"New York : Flying Stag Press","Art, American","1689-1921 : first retrospective exhibition of American art : inaugurating the Junior Art Patrons of America, May 7 to 21, 1921, Fine Arts Building"
"2","18951905american00smed",NA,1905,"Washington : Government Printing Office","American National Institute (Paris, France)","1895-1905 : American National Institute (Prix de Paris) (Paris, France), founded by Matilda Smedley : incorporated under the laws of the State of New York, December 9, 1895 : act to reincorporate passed the United States Senate April 18, 1904, Henri von Daur, Secretary-General"
"3","1922exhibitionof00kans","Kansas City Art Institute",1922,"Kansas City, Mo. : Kansas City Art Institute","Holmes, Ethel Greenough, b. 1879","The 1922 exhibition of work by members of the National Academy of Design : a group of pastels and a series of paintings by Mrs. Massey Holmes"
"4","1968festivalofam00fest",NA,1968,"[Washington, D.C. : Smithsonian Institution] ;","Festival of American Folklife (1968 : Washington, D.C.)","1968 Festival of American Folklife"
"5","1969festivalofam00fest",NA,1969,"[Washington, D.C.] : Smithsonian Institution","Festival of American Folklife (1969 : Washington, D.C.)","1969 Festival of American Folklife"
"6","1970festivalofam00fest",NA,1970,"[Washington, D.C.] : Smithsonian Institution","Festival of American Folklife (1970 : Smithsonian Institution)","1970 Festival of American Folklife"
"7","1971festivalofam00fest",NA,1971,"[Washington, D.C.] : Smithsonian Institution","Festival of American Folklife (1971 : Washington, D.C.)","1971 Festival of American Folklife July 1-5"
"8","1972festivalofam00fest",NA,1972,"[Washington, D.C.] : Smithsonian Institution","Festival of American Folklife (1972 : Washington, D.C.)","1972 Festival of American Folklife"
"9","1973festivalofam1973fest",NA,1973,"[Washington : Smithsonian Institution","Festival of American Folklife (1973 : Washington, D.C.)","1973 Festival of American Folklife"
"10","1978festivalofam00fest",NA,1978,"[Washington, D.C.] : The Institution","Festival of American Folklife (1978 : Washington, D.C.)","1978 Festival of American Folklife : October 4-9, 1978"
"11","1983festivalofam00fest",NA,1983,"Washington, D.C. : Smithsonian","Festival of American Folklife (1983 : Washington, D.C.)","1983 Festival of American Folklife : June 23-27, June 30-July 4"
"12","1984festivalofam00fest",NA,1984,"Washington, D.C. : Smithsonian","Festival of American Folklife (1984 : Washington, D.C.)","1984 Festival of American Folklife"
"13","1985festivalofam00fest",NA,1985,"[Washington, D.C. : The Smithsonian Institution]","Festival of American Folklife (1985 : Washington, D.C.)","1985 Festival of American folklife, June 26-30/July 3-7"
"14","1986festivalofam00fest",NA,1986,"Washington, D.C. : Smithsonian","Festival of American Folklife (1986 : Washington, D.C.)","1986 Festival of American Folklife"
"15","1987festivalofam00fest",NA,1987,"Washington, D.C. : Smithsonian","Festival of American Folklife (1987 : Washington, D.C.)","1987 Festival of American Folklife"
"16","1988festivalofam00fest",NA,1988,"[Washington, D.C.] : Smithsonian Institution","American Folklore Society","1988 Festival of American Folklife : June 23-27/30-July 4"
"17","1989festivalofam00fest",NA,1989,"Washington, D.C. : The Institution","Festival of American Folklife (1989 : Washington, D.C.)","1989 Festival of American Folklife, June 23-27, June 30-July 4"
"18","1990festivalofam00fest",NA,1990,"Washington, D.C. : Smithsonian Institution","Festival of American Folklife (1990 : Washington, D.C.)","1990 Festival of American Folklife : June 27-July 1 ; July 4- July 8"
"19","1991festivalofam00fest",NA,1991,"Washington, D.C. : Smithsonian Institution","Johnson, Robert, d. 1938","1991 Festival of American Folklife : June 28-July 1, July l4-July 7"
"20","1992festivalofam00fest",NA,1992,"[Washington, D.C.] : The Institution","Festival of American Folklife (1992 : Washington, D.C.)","1992 Festival of American Folklife : June 25-June 29 ; July 2- July 5"
"21","1993festivalofam00fest",NA,1993,"[Washington, D.C. : Smithsonian Institution]","Festival of American Folklife (1993 : Washington, D.C.)","1993 Festival of American Folklife : July 1-July 5"
"22","1994festivalofam1994fest",NA,1994,"[Washington, D.C.] : Smithsonian Institution","Festival of American Folklife (1994 : Washington, D.C.)","1994 Festival of American Folklife"
"23","1995festivalofam00fest",NA,1995,"Washington, D.C. : Smithsonian Institution","Festival of American Folklife (1995 : Washington, D.C.)","1995 Festival of American Folklife : June 23-27 and June 30-July 4 on the National Mall of the United States"
"24","1998smithsonianf00smit",NA,1998,"Washington : Smithsonian Institution","Smithsonian Folklife Festival (1998 : Washington, D.C.)","1998 Smithsonian Folklife Festival : on the National Mall, Washington, D.C., June 24-28 & July 1-5, 1998"
